2010-10-18;18;11;0004;1;1
2010-10-18;18;15;0017;1;1
2010-10-19;06;28;0006;0;1
2010-10-19;07;04;0008;0;0
2010-10-19;07;34;0015;0;1
2010-10-19;07;58;0013;0;1
2010-10-19;07;59;0008;0;0
2010-10-19;08;05;0023;0;0
2010-10-19;08;07;0007;0;1
2010-10-19;08;15;0011;0;1
2010-10-19;08;27;0012;0;1
2010-10-19;08;44;0010;0;1
2010-10-19;09;01;0016;0;1
2010-10-19;09;12;0013;1;1
2010-10-19;09;12;0014;0;1
2010-10-19;09;18;0013;0;1
2010-10-19;09;39;0008;0;0
2010-10-19;09;55;0006;5;1
2010-10-19;09;55;0011;1;1
2010-10-19;09;59;0011;0;1
2010-10-19;10;10;0014;1;1
2010-10-19;10;15;0016;1;1
2010-10-19;10;20;0016;0;1
2010-10-19;10;23;0014;0;1
2010-10-19;10;51;0013;0;1
2010-10-19;11;38;0016;1;1
2010-10-19;11;43;0016;0;1
2010-10-19;12;06;0008;5;0
2010-10-19;12;10;0007;0;1
2010-10-19;12;14;0012;0;1
2010-10-19;12;29;0016;1;1
2010-10-19;12;29;0013;1;1
2010-10-19;12;30;0006;0;1
2010-10-19;12;35;0013;0;1
2010-10-19;12;35;0016;0;1
2010-10-19;14;16;0006;1;1
2010-10-19;14;40;0016;1;1
2010-10-19;14;40;0013;1;1
2010-10-19;14;45;0013;0;1
2010-10-19;14;45;0016;0;1
2010-10-19;15;28;0023;1;0
2010-10-19;15;53;0015;1;1
2010-10-19;15;56;0001;0;1
2010-10-19;15;59;0016;1;1
2010-10-19;15;59;0013;1;1
2010-10-19;16;03;0013;0;1
2010-10-19;16;05;0016;0;1
2010-10-19;16;31;0013;1;1
2010-10-19;16;39;0011;1;1
2010-10-19;16;56;0010;1;1
2010-10-19;17;30;0016;1;1
2010-10-19;17;39;0014;1;1
2010-10-20;06;23;0006;0;1
2010-10-20;07;10;0008;0;0
2010-10-20;07;53;0008;0;0
2010-10-20;07;55;0023;0;0
2010-10-20;07;57;0015;0;1
2010-10-20;08;07;0013;0;1
2010-10-20;08;15;0011;0;1
2010-10-20;08;36;0010;0;1
2010-10-20;08;57;0016;0;1
2010-10-20;09;04;0014;0;0
2010-10-20;09;21;0013;1;1
2010-10-20;09;28;0013;0;1
2010-10-20;09;36;0014;1;1
2010-10-20;09;44;0011;1;1
2010-10-20;09;45;0014;0;1
2010-10-20;09;50;0016;1;1
2010-10-20;09;51;0011;0;1
2010-10-20;09;55;0016;0;1
2010-10-20;09;58;0006;5;1
2010-10-20;10;06;0008;0;0
2010-10-20;10;20;0006;0;1
2010-10-20;10;26;0013;1;1
2010-10-20;10;38;0013;0;1
2010-10-20;11;42;0016;1;1
2010-10-20;11;46;0016;0;1
2010-10-20;12;17;0008;0;0
2010-10-20;12;42;0013;1;0
2010-10-20;12;49;0013;0;1
2010-10-20;13;37;0016;1;1
2010-10-20;13;40;0008;0;0
